year	locale	beforeMonth	month	beforeDay	day	hour	ymdt	duration	unknown	longitude	latitude	elevation	relativeAltitude	continentCode	countryCode	area	locationFlags	miscellaneousFlags	typeOfUfoCraftFlags	aliensMonstersFlags	apparentUfoOccupantActivitiesFlags	placesVisitedAndThingsAffectedFlags	evidenceAndSpecialEffectsFlags	miscellaneousDetailsFlags	description	location	title	ref	refIndex	strangeness	credibility
-593	4	0	1	0	1	1	213	60	0	-46.1666666666205	30.999999999969	200	0	10	3	CHL	67	64	32	20	8	144	64	0	"FIERY SPHERE LANDS/4 SUPPORTS
TAKEN FOR A RIDE
see Bible acct."	CHALDEA	EZEKIEL	2	2	8	4
-322	18	0	1	1	0	0	213	3	0	-35.222222222187	33.266666666633405	20	100	10	10	TYR	167	0	5	128	3	88	80	0	"FLYING SHIELD BEAMS
WALLS CRUMBLE"	TYRE =SUR,LEBANON	SIEGE/ALEXANDER the GREAT	160	64	9	6
-213	4	0	6	0	1	0	212	15	0	-11.266666666655402	43.9777777777338	-99	999	3	9	FI.	3	192	6	4	0	0	64	0	"MAN IN WHITE
12 SUCH BETWEEN 222 AND 90 B.C."	HADRIA,ROMAN EMP	'ALTAR' IN SKY	2	4	8	4
-170	20	0	1	0	0	72	213	2	0	-12.644444444431802	41.733333333291604	384	999	3	9	RM.	67	192	3	128	0	0	64	0	NFD	LANUPIUM = ALBANO LAZIALE,ITL	SPECTACULAR FLEET OF SHIPS IN AIR	114	125	6	6
70	4	0	5	0	21	108	254	60	0	-35.233333333298106	31.7666666666349	-99	999	10	6	UNK	227	128	15	64	0	0	96	16	"CHARIOTS+REGIMENTS CIRCLE TOWNS in SKY
LOUD NOISES LATER"	PALESTINE	MANY OBS	114	120	7	4
840	2	0	1	0	0	0	212	20	0	-4.8666666666618	45.7444444443987	-99	999	3	5	RHN	195	0	2	64	0	0	64	0	they admitted flying	LYON,FRANCE	MOB LYNCHES 3 FIGURES FROM 'CLOUDSHIP'	2	7	10	4
927	2	0	3	0	0	42	228	15	0	-5.3555555555502	49.1444444443953	-99	999	3	5	MSE	67	12	40	128	0	0	64	0	undefined	VERDUN,FR	'FIERY ARMIES' PASS IN SKY HERE +ALL E.FRANCE per Scribe FLODOARD	30	32	3	7
989	8	0	8	0	3	0	252	15	0	-139.8333333331935	35.666666666631	-99	999	6	1	HNS	67	0	1	128	0	0	64	0	"THEN JOIN TOGETHER
TIME UNKNOWN.   "	JAPAN/LOC UNK	UNUSUALLY BRIGHT SCRS FLY	8	0	6	5
1015	8	0	8	0	23	0	253	15	0	-139.7999999998602	35.6333333332977	-99	999	6	1	HNS	67	0	35	128	0	0	96	0	"2 SML OBJs EXIT..1 smokes
NFD
/SOBEPS IFS#23 p35"	JAPAN/LOC UNK	2 SPHERES HVR	2	9	4	6
1034	3	0	1	0	0	0	213	15	0	-5.333333333328	49.077777777728706	-99	999	3	5	MSE	67	64	3	128	0	0	64	0	/VERDUN MUSEUM /SOBEPS IFS#23 p35	nr VERDUN,FR	FIERY OVOID >>SE TURNS >>W	2	9	6	6
1180	8	0	10	0	27	0	248	8	0	-135.6777777776421	33.999999999966	-99	999	6	1	HNS	67	8	1	128	0	0	64	0	">>S
/SOBEPS IFS#23"	KII SANCHI,NARA,JAPAN	GLOWING 'POT' FLIES+MNVRS BTWN Mtns	4	10	6	5
1186	2	0	8	0	9	84	255	88	0	0.44444444444400005	51.8777777777259	-99	999	3	1	ENG	195	64	6	128	0	0	64	0	"'SKY OPENS UP'
HUGE CROSS HVRS TILL MIDNITE"	DUNSTABLE,BEDFORDs	MANY OBS AMAZED	186	23	7	8
